bytes                 uenv-gpu uenv-cpu  cpe-gpu  cpe-cpu
1                      48.35    27.46     44.43    29.13
2                      48.18    26.40     44.17    28.99
4                      47.83    26.30     44.04    29.35
8                      47.32    26.92     44.34    28.75
16                     47.79    27.21     45.71    29.54
32                     47.86    27.86     46.43    30.37
64                     48.82    28.08     46.49    30.77
128                    53.13    31.62     49.08    32.58
256                    54.34    32.69     52.97    33.73
512                    57.27    34.21     53.54    33.63
1024                   78.97    29.83     67.04    28.57
2048                   79.75    30.45     65.02    27.99
4096                   80.87    32.01     67.77    29.02
8192                   79.73    32.54     72.63    32.86
16384                  74.12    38.31     70.11    36.23
32768                  73.51    41.60     72.52    40.07
65536                  81.90    63.59     78.62    62.90
131072                124.70   111.16    125.34   110.07
262144                243.81   246.67    243.42   230.99
524288                562.59   568.53    556.14   540.70
1048576              1048.88  1032.41   1053.10  1036.18
