num_tasks num_tasks_per_node num_cpus_per_task system pe jid cn ntasks nsteps ncubeside np np_per_mpi elapsed mpich cudart it_throughput_per_min
   #1    1 64 "hohgant:nvgpu" "PrgEnv-gnu"   42980    1    1   40    398   63521199   63521199      97.45 812111 11889   24.6
   #2    1 32 "hohgant:nvgpu" "PrgEnv-gnu"   42976    2    2   40    502  127263527   63631763     124.12 812111 11889   19.3
   #2    2 32 "hohgant:nvgpu" "PrgEnv-gnu"   42979    1    2   40    502  127263527   63631763     129.59 812111 11889   18.5
   #3    1 16 "hohgant:nvgpu" "PrgEnv-gnu"   42972    3    3   40    575  191102976   63700992     125.97 812111 11889   19.1
   #3    3 16 "hohgant:nvgpu" "PrgEnv-gnu"   42978    1    3   40    575  191102976   63700992     137.34 812111 11889   17.5
   #4    1 16 "hohgant:nvgpu" "PrgEnv-gnu"   42968    4    4   40    633  254840104   63710026     130.13 812111 11889   18.4
   #4    2 16 "hohgant:nvgpu" "PrgEnv-gnu"   42975    2    4   40    633  254840104   63710026     134.57 812111 11889   17.8
   4    4 16 "hohgant:nvgpu" "PrgEnv-gnu"   42977    1    4   40    633  254840104   63710026     143.62 812111 11889   16.7
   #6    2 16 "hohgant:nvgpu" "PrgEnv-gnu"   42971    3    6   40    725  382657176   63776196     129.44 812111 11889   18.5
   #6    3 16 "hohgant:nvgpu" "PrgEnv-gnu"   42974    2    6   40    725  382657176   63776196     140.42 812111 11889   17.1
   #8    2 16 "hohgant:nvgpu" "PrgEnv-gnu"   42967    4    8   40    798  510082399   63760299     116.15 812111 11889   20.7
   8    4 16 "hohgant:nvgpu" "PrgEnv-gnu"   42973    2    8   40    798  510082399   63760299     121.16 812111 11889   19.8
   #9    3 16 "hohgant:nvgpu" "PrgEnv-gnu"   42970    3    9   40    831  575930368   63992263     122.69 812111 11889   19.6
  #12    3 16 "hohgant:nvgpu" "PrgEnv-gnu"   42966    4   12   40    914  766060875   63838406     136.53 812111 11889   17.6
  12    4 16 "hohgant:nvgpu" "PrgEnv-gnu"   42969    3   12   40    914  766060875   63838406     136.27 812111 11889   17.6
  16    4 16 "hohgant:nvgpu" "PrgEnv-gnu"   42965    4   16   40   1006 1021147343   63821708     145.86 812111 11889   16.5
#
# jid ConsumedEnergy_Joules
# 42980 -1
# 42976 -1
# 42979 143002
# 42972 101698
# 42978 187365
# 42968 106142
# 42975 -1
# 42977 226507
# 42971 134137
# 42974 179666
# 42967 130707
# 42973 192128
# 42970 162975
# 42966 183639
# 42969 210517
# 42965 237536
