num_tasks num_tasks_per_node num_cpus_per_task system pe jid cn ntasks nsteps ncubeside np np_per_mpi elapsed mpich cudart it_throughput_per_min
    1    1 64 "hohgant:nvgpu" "builtin"   42963    1    1   40    398   63521199   63521199      97.62 812314 11889   24.6
    #2    1 32 "hohgant:nvgpu" "builtin"   42959    2    2   40    502  127263527   63631763     124.10 812314 11889   19.3
    #2    2 32 "hohgant:nvgpu" "builtin"   42962    1    2   40    502  127263527   63631763     124.19 812314 11889   19.3
    #3    1 16 "hohgant:nvgpu" "builtin"   42955    3    3   40    575  191102976   63700992     126.28 812314 11889   19.0
    #3    3 16 "hohgant:nvgpu" "builtin"   42961    1    3   40    575  191102976   63700992     126.79 812314 11889   18.9
    #4    1 16 "hohgant:nvgpu" "builtin"   42951    4    4   40    633  254840104   63710026     130.95 812314 11889   18.3
    #4    2 16 "hohgant:nvgpu" "builtin"   42958    2    4   40    633  254840104   63710026     129.76 812314 11889   18.5
    4    4 16 "hohgant:nvgpu" "builtin"   42960    1    4   40    633  254840104   63710026     130.90 812314 11889   18.3
    #6    2 16 "hohgant:nvgpu" "builtin"   42954    3    6   40    725  382657176   63776196     124.52 812314 11889   19.3
    #6    3 16 "hohgant:nvgpu" "builtin"   42957    2    6   40    725  382657176   63776196     125.15 812314 11889   19.2
    #8    2 16 "hohgant:nvgpu" "builtin"   42950    4    8   40    798  510082399   63760299     114.15 812314 11889   21.0
    8    4 16 "hohgant:nvgpu" "builtin"   42956    2    8   40    798  510082399   63760299     114.71 812314 11889   20.9
    #9    3 16 "hohgant:nvgpu" "builtin"   42953    3    9   40    831  575930368   63992263     118.49 812314 11889   20.3
   #12    3 16 "hohgant:nvgpu" "builtin"   42949    4   12   40    914  766060875   63838406     130.99 812314 11889   18.3
   12    4 16 "hohgant:nvgpu" "builtin"   42952    3   12   40    914  766060875   63838406     130.84 812314 11889   18.3
   16    4 16 "hohgant:nvgpu" "builtin"   42948    4   16   40   1006 1021147343   63821708     140.48 812314 11889   17.1
# 
# jid ConsumedEnergy_Joules
# 42963 83287
# 42959 -1
# 42962 140499
# 42955 103383
# 42961 176934
# 42951 106161
# 42958 148166
# 42960 218401
# 42954 136621
# 42957 -1
# 42950 129004
# 42956 198085
# 42953 167572
# 42949 179943
# 42952 217490
# 42948 233895
