num_tasks num_tasks_per_node num_cpus_per_task system pe jid cn ntasks nsteps ncubeside np np_per_mpi elapsed mpich cudart it_throughput_per_min
    1    1 64 "hohgant:nvgpu" "builtin"   42945    1    1   40    398   63521199   63521199      97.56 81184 11889   24.6
    2    1 32 "hohgant:nvgpu" "builtin"   42941    2    2   40    502  127263527   63631763     124.05 81184 11889   19.3
#    2    2 32 "hohgant:nvgpu" "builtin"   42944    1    2   40    502  127263527   63631763     124.81 81184 11889   19.2
    3    1 16 "hohgant:nvgpu" "builtin"   42937    3    3   40    575  191102976   63700992     126.18 81184 11889   19.0
#    3    3 16 "hohgant:nvgpu" "builtin"   42943    1    3   40    575  191102976   63700992     127.31 81184 11889   18.9
    4    1 16 "hohgant:nvgpu" "builtin"   42933    4    4   40    633  254840104   63710026     130.77 81184 11889   18.4
#    4    2 16 "hohgant:nvgpu" "builtin"   42940    2    4   40    633  254840104   63710026     129.89 81184 11889   18.5
#    4    4 16 "hohgant:nvgpu" "builtin"   42942    1    4   40    633  254840104   63710026     132.53 81184 11889   18.1
    6    2 16 "hohgant:nvgpu" "builtin"   42936    3    6   40    725  382657176   63776196     124.83 81184 11889   19.2
#    6    3 16 "hohgant:nvgpu" "builtin"   42939    2    6   40    725  382657176   63776196     128.75 81184 11889   18.6
    8    2 16 "hohgant:nvgpu" "builtin"   42932    4    8   40    798  510082399   63760299     114.08 81184 11889   21.0
#    8    4 16 "hohgant:nvgpu" "builtin"   42938    2    8   40    798  510082399   63760299     114.79 81184 11889   20.9
    9    3 16 "hohgant:nvgpu" "builtin"   42935    3    9   40    831  575930368   63992263     118.15 81184 11889   20.3
   12    3 16 "hohgant:nvgpu" "builtin"   42931    4   12   40    914  766060875   63838406     131.80 81184 11889   18.2
#   12    4 16 "hohgant:nvgpu" "builtin"   42934    3   12   40    914  766060875   63838406     132.11 81184 11889   18.2
   16    4 16 "hohgant:nvgpu" "builtin"   42930    4   16   40   1006 1021147343   63821708     140.89 81184 11889   17.0
# 
# jid ConsumedEnergy_Joules
# 42945 83063
# 42941 -1
# 42944 140785
# 42937 102991
# 42943 176780
# 42933 105828
# 42940 148152
# 42942 219705
# 42936 136579
# 42939 -1
# 42932 128817
# 42938 197807
# 42935 167483
# 42931 180767
# 42934 217743
# 42930 234560
