num_tasks num_tasks_per_node num_cpus_per_task system environment jid cn ntasks nsteps ncubeside np np_per_mpi elapsed mpich librt  it_throughput_per_min
1 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50926 1 1 40 398 63521199 63521199 451.57 812111 5250204  5.31479
#2 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50922 2 2 40 502 127263527 63631763 443.31 812111 5250204  5.41382
#2 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50925 1 2 40 502 127263527 63631763 444.40 812111 5250204  5.40054
#3 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50918 3 3 40 575 191102976 63700992 434.58 812111 5250204  5.52257
#4 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50914 4 4 40 633 254840104 63710026 459.43 812111 5250204  5.22386
#4 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50921 2 4 40 633 254840104 63710026 463.51 812111 5250204  5.17788
#4 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50924 1 4 40 633 254840104 63710026 466.32 812111 5250204  5.14668
#5 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50910 5 5 40 682 318611987 63722397 469.15 812111 5250204  5.11563
#6 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50906 6 6 40 725 382657176 63776196 475.03 812111 5250204  5.05231
#6 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50917 3 6 40 725 382657176 63776196 481.44 812111 5250204  4.98504
#7 1 64 "hohgant:amdgpu" "PrgEnv-cray" 50902 7 7 40 764 447697125 63956732 477.89 812111 5250204  5.02208
#8 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50913 4 8 40 798 510082399 63760299 473.87 812111 5250204  5.06468
#8 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50920 2 8 40 798 510082399 63760299 477.27 812111 5250204  5.0286
8 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50923 1 8 40 798 510082399 63760299 480.03 812111 5250204  4.99969
#10 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50909 5 10 40 860 638277381 63827738 471.61 812111 5250204  5.08895
#12 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50905 6 12 40 914 766060875 63838406 470.13 812111 5250204  5.10497
#12 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50916 3 12 40 914 766060875 63838406 474.29 812111 5250204  5.0602
#14 2 32 "hohgant:amdgpu" "PrgEnv-cray" 50901 7 14 40 963 895841344 63988667 467.49 812111 5250204  5.1338
#16 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50912 4 16 40 1006 1021147343 63821708 461.16 812111 5250204  5.20427
16 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50919 2 16 40 1006 1021147343 63821708 463.72 812111 5250204  5.17554
#20 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50908 5 20 40 1084 1277289125 63864456 467.17 812111 5250204  5.13732
#24 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50904 6 24 40 1152 1532808577 63867024 468.14 812111 5250204  5.12667
24 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50915 3 24 40 1152 1532808577 63867024 474.35 812111 5250204  5.05956
#28 4 16 "hohgant:amdgpu" "PrgEnv-cray" 50900 7 28 40 1213 1789188344 63899583 495.80 812111 5250204  4.84066
32 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50911 4 32 40 1268 2043548109 63860878 493.86 812111 5250204  4.85968
40 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50907 5 40 40 1366 2554497863 63862446 507.96 812111 5250204  4.72478
48 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50903 6 48 40 1452 3067586677 63908055 513.92 812111 5250204  4.66999
56 8 8 "hohgant:amdgpu" "PrgEnv-cray" 50899 7 56 40 1529 3581577000 63956732 518.20 812111 5250204  4.63142
# 
#        JobID    JobName ConsumedEnergyRaw ConsumedEnergy    Elapsed
# ------------ ---------- ----------------- -------------- ----------
# 50926.0      hip_visib+            407014         407014   00:07:32
# 50922.0      hip_visib+                                    00:07:24
# 50925.0      hip_visib+            484722         484722   00:07:25
# 50918.0      hip_visib+           1233175        1233175   00:07:16
# 50914.0      hip_visib+                                    00:07:41
# 50921.0      hip_visib+           1025098        1025098   00:07:44
# 50924.0      hip_visib+            662091         662091   00:07:47
# 50910.0      hip_visib+                                    00:07:50
# 50906.0      hip_visib+                                    00:07:56
# 50917.0      hip_visib+           1598626        1598626   00:08:02
# 50902.0      hip_visib+                                    00:07:58
# 50913.0      hip_visib+                                    00:07:54
# 50920.0      hip_visib+           1327996        1327996   00:07:58
# 50923.0      hip_visib+            976874         976874   00:08:01
# 50909.0      hip_visib+                                    00:07:52
# 50905.0      hip_visib+                                    00:07:52
# 50916.0      hip_visib+           2045017        2045017   00:07:56
# 50901.0      hip_visib+                                    00:07:48
# 50912.0      hip_visib+                                    00:07:42
# 50919.0      hip_visib+           1978567        1978567   00:07:45
# 50908.0      hip_visib+                                    00:07:48
# 50904.0      hip_visib+                                    00:07:49
# 50915.0      hip_visib+           3025228        3025228   00:07:56
# 50900.0      hip_visib+                                    00:08:17
# 50911.0      hip_visib+                                    00:08:15
# 50907.0      hip_visib+                                    00:08:29
# 50903.0      hip_visib+                                    00:08:35
# 50899.0      hip_visib+                                    00:08:41
