num_tasks num_tasks_per_node num_cpus_per_task system environment jid cn ntasks nsteps ncubeside np np_per_mpi elapsed mpich librt  it_throughput_per_min
    1    1 64 "hohgant:amdgpu" "builtin"   50711    1    1   40    398   63521199   63521199     449.33 812111 5221153    5.3
    2    1 64 "hohgant:amdgpu" "builtin"   50707    2    2   40    502  127263527   63631763     439.44 812111 5221153    5.5
#    2    2 32 "hohgant:amdgpu" "builtin"   50710    1    2   40    502  127263527   63631763     441.24 812111 5221153    5.4
    3    1 64 "hohgant:amdgpu" "builtin"   50703    3    3   40    575  191102976   63700992     436.44 812111 5221153    5.5
    4    1 64 "hohgant:amdgpu" "builtin"   50699    4    4   40    633  254840104   63710026     462.71 812111 5221153    5.2
#    4    2 32 "hohgant:amdgpu" "builtin"   50706    2    4   40    633  254840104   63710026     466.85 812111 5221153    5.1
#    4    4 16 "hohgant:amdgpu" "builtin"   50709    1    4   40    633  254840104   63710026     467.97 812111 5221153    5.1
    5    1 64 "hohgant:amdgpu" "builtin"   50695    5    5   40    682  318611987   63722397     475.14 812111 5221153    5.1
    6    1 64 "hohgant:amdgpu" "builtin"   50691    6    6   40    725  382657176   63776196     481.09 812111 5221153    5.0
#    6    2 32 "hohgant:amdgpu" "builtin"   50702    3    6   40    725  382657176   63776196     487.30 812111 5221153    4.9
    7    1 64 "hohgant:amdgpu" "builtin"   50687    7    7   40    764  447697125   63956732     484.05 812111 5221153    5.0
    8    2 32 "hohgant:amdgpu" "builtin"   50698    4    8   40    798  510082399   63760299     478.42 812111 5221153    5.0
#    8    4 16 "hohgant:amdgpu" "builtin"   50705    2    8   40    798  510082399   63760299     480.10 812111 5221153    5.0
#    8    8 8 "hohgant:amdgpu" "builtin"   50708    1    8   40    798  510082399   63760299     480.27 812111 5221153    5.0
   10    2 32 "hohgant:amdgpu" "builtin"   50694    5   10   40    860  638277381   63827738     477.54 812111 5221153    5.0
   12    2 32 "hohgant:amdgpu" "builtin"   50690    6   12   40    914  766060875   63838406     479.87 812111 5221153    5.0
#   12    4 16 "hohgant:amdgpu" "builtin"   50701    3   12   40    914  766060875   63838406     483.13 812111 5221153    5.0
   14    2 32 "hohgant:amdgpu" "builtin"   50686    7   14   40    963  895841344   63988667     478.79 812111 5221153    5.0
   16    4 16 "hohgant:amdgpu" "builtin"   50697    4   16   40   1006 1021147343   63821708     468.70 812111 5221153    5.1
#   16    8 8 "hohgant:amdgpu" "builtin"   50704    2   16   40   1006 1021147343   63821708     468.39 812111 5221153    5.1
   20    4 16 "hohgant:amdgpu" "builtin"   50693    5   20   40   1084 1277289125   63864456     483.61 812111 5221153    5.0
   24    4 16 "hohgant:amdgpu" "builtin"   50689    6   24   40   1152 1532808577   63867024     484.20 812111 5221153    5.0
#   24    8 8 "hohgant:amdgpu" "builtin"   50700    3   24   40   1152 1532808577   63867024     485.01 812111 5221153    4.9
   28    4 16 "hohgant:amdgpu" "builtin"   50685    7   28   40   1213 1789188344   63899583     512.01 812111 5221153    4.7
   32    8 8 "hohgant:amdgpu" "builtin"   50696    4   32   40   1268 2043548109   63860878     503.54 812111 5221153    4.8
   40    8 8 "hohgant:amdgpu" "builtin"   50692    5   40   40   1366 2554497863   63862446     520.93 812111 5221153    4.6
   48    8 8 "hohgant:amdgpu" "builtin"   50688    6   48   40   1452 3067586677   63908055     532.97 812111 5221153    4.5
   56    8 8 "hohgant:amdgpu" "builtin"   50684    7   56   40   1529 3581577000   63956732     533.76 812111 5221153    4.5
# 
#        JobID    JobName ConsumedEnergyRaw ConsumedEnergy    Elapsed
# ------------ ---------- ----------------- -------------- ----------
# 50711.0      hip_visib+            357173         357173   00:07:30
# 50707.0      hip_visib+            716529         716529   00:07:20
# 50710.0      hip_visib+            433311         433311   00:07:22
# 50703.0      hip_visib+           1085585        1085585   00:07:17
# 50699.0      hip_visib+                                    00:07:44
# 50706.0      hip_visib+            924618         924618   00:07:48
# 50709.0      hip_visib+            625140         625140   00:07:50
# 50695.0      hip_visib+                                    00:07:57
# 50691.0      hip_visib+                                    00:08:02
# 50702.0      hip_visib+           1447083        1447083   00:08:08
# 50687.0      hip_visib+                                    00:08:05
# 50698.0      hip_visib+                                    00:08:00
# 50705.0      hip_visib+           1254307        1254307   00:08:01
# 50708.0      hip_visib+            935559         935559   00:08:02
# 50694.0      hip_visib+                                    00:07:59
# 50690.0      hip_visib+                                    00:08:01
# 50701.0      hip_visib+           1938872        1938872   00:08:04
# 50686.0      hip_visib+                                    00:08:01
# 50697.0      hip_visib+                                    00:07:50
# 50704.0      hip_visib+           1902955        1902955   00:07:50
# 50693.0      hip_visib+                                    00:08:07
# 50689.0      hip_visib+                                    00:08:05
# 50700.0      hip_visib+           2934035        2934035   00:08:06
# 50685.0      hip_visib+                                    00:08:34
# 50696.0      hip_visib+                                    00:08:25
# 50692.0      hip_visib+                                    00:08:43
# 50688.0      hip_visib+                                    00:08:55
# 50684.0      hip_visib+                                    00:08:57
